,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Xist,16827.8036846997,7.7590456345620895,0.489681270426752,15.845093743937099,1.51994168765532e-56,2.1777724500725497e-52,chrX,103460372.0,103483233.0,-,22861.0,17918.0
Atp2a3,669.187631228104,3.1309653219467903,0.27632872835037897,11.3305820232227,9.258744052570029e-30,6.63296423926117e-26,chr11,72961168.0,72993043.0,+,31875.0,4606.0
Pls3,2522.76873927835,-3.5159623444122006,0.313064222684313,-11.230802147448198,2.87853292605871e-29,1.3747873254856399e-25,chrX,75785653.0,75875170.0,-,89517.0,3492.0
Bex4,2901.70763098794,-1.92023521368877,0.17176526440809,-11.179415234540999,5.142773051305479e-29,1.8421413069776198e-25,chrX,136139044.0,136140437.0,+,1393.0,782.0
Rhox9,207.20934946641898,-3.58390532617517,0.336754411098979,-10.642489624647501,1.89010382812328e-26,5.41628152987008e-23,chrX,37899096.0,37901770.0,-,2674.0,882.0
C77370,1444.94518572763,-1.7069548172561002,0.16816532631427197,-10.150456426826699,3.2981726497154097e-24,7.87603628752039e-21,chrX,104077434.0,104201117.0,-,123683.0,10891.0
Bex2,1875.3022702063101,-1.20351294384584,0.124683075662619,-9.652576642418081,4.793586487156889e-22,9.81178674114056e-19,chrX,136066564.0,136068236.0,-,1672.0,902.0
Cited1,316.293022407894,-2.50341491521205,0.26396423608332104,-9.48391703496468,2.4491288000878697e-21,4.38638968095738e-18,chrX,102247377.0,102252181.0,-,4804.0,1519.0
Rhox6,160.746726396561,-3.65835398051116,0.3934401428737321,-9.298374979711351,1.4260850093404098e-20,2.2703273348699302e-17,chrX,37827054.0,37829857.0,+,2803.0,865.0
Chrnb1,166.101044548035,2.44550372442953,0.26685122048284804,9.16429656946882,4.9871161299735994e-20,7.145539991026171e-17,chr11,69784035.0,69795937.0,-,11902.0,2149.0
Fmr1nb,1457.4065297269901,-2.00964188429857,0.21969603704072502,-9.14737430573699,5.833410670175919e-20,7.598282552934599e-17,chrX,68761838.0,68804560.0,+,42722.0,930.0
Fam122b,835.3629491592098,-2.1299980318865,0.24081930745575,-8.844797596961321,9.16943623926092e-19,1.09483068696775e-15,chrX,53243414.0,53269805.0,-,26391.0,4334.0
Phka1,1227.96622491136,-1.8218741069931002,0.207557689358423,-8.777675800037349,1.66887518796622e-18,1.8393572071676897e-15,chrX,102513974.0,102644246.0,-,130272.0,6115.0
Hprt,6578.13491470474,-1.24602942856653,0.14433022264573497,-8.63318441366897,5.96671221971425e-18,6.106503763147561e-15,chrX,52988077.0,53021660.0,+,33583.0,1349.0
Rlim,3446.6374789710303,-2.29507996109866,0.26649112240950895,-8.61221920020241,7.16596580559949e-18,6.8449305375086294e-15,chrX,103957166.0,103981284.0,-,24118.0,7435.0
Pcdh19,369.751671677413,-1.4380143859719199,0.170821710787443,-8.41821791470799,3.8225427214602005e-17,3.4230870070676104e-14,chrX,133582860.0,133688993.0,-,106133.0,10294.0
Gm364,1187.77292318256,-3.8087841530679305,0.45918981665495395,-8.29457451999624,1.08974546425078e-16,9.184631183403051e-14,chrX,57409148.0,57488771.0,+,79623.0,2165.0
Nup62cl,2744.42888650117,-2.20165738136484,0.266450759993069,-8.262905241561741,1.42169097040939e-16,1.1316660124458801e-13,chrX,140007672.0,140062568.0,-,54896.0,1128.0
Mageh1,231.476869587965,-2.0280559915993703,0.24684177268651702,-8.21601615288574,2.10375135914493e-16,1.58644997230676e-13,chrX,153036165.0,153037563.0,-,1398.0,1398.0
Phc1,15906.6857357546,0.9250298923490969,0.113969723038764,8.11645292877012,4.80006777591092e-16,3.43876855466258e-13,chr6,122317730.0,122340227.0,-,22497.0,3937.0
