,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,start,end,strand,length,exon_length
Xist,3634.0080025188795,7.5991791062358,0.300078697114463,25.3239539471112,1.7403408137161794e-141,2.510789691948329e-137,chrX,103460372.0,103483233.0,-,22861.0,17918.0
Fhl1,1418.0504471761901,-1.53190908771801,0.156111752936397,-9.81290043128358,9.907898159704809e-23,7.14706233750307e-19,chrX,56731760.0,56793346.0,+,61586.0,2962.0
Firre,2303.1651302484697,-1.30193715318256,0.14117227540478303,-9.222328884687329,2.90716203701499e-20,1.39805422360051e-16,chrX,50563119.0,50635321.0,-,72202.0,5815.0
BC023829,441.316246258677,-1.19045288873298,0.14458309836790897,-8.233693302821079,1.8152808296537199e-16,5.54405414808323e-13,chrX,70460055.0,70477043.0,-,16988.0,1989.0
Fam122b,788.518869879824,-1.33162878695805,0.16186302207886302,-8.22688696810105,1.92141614614377e-16,5.54405414808323e-13,chrX,53243414.0,53269805.0,-,26391.0,4334.0
Armcx4,1005.8576494765199,-1.54017935746343,0.19121551721805,-8.05467767402529,7.968852381538339e-16,1.91611055514089e-12,chrX,134686518.0,134697772.0,+,11254.0,9011.0
Armcx1,832.2428036523579,-1.39054582678414,0.17373267867427497,-8.00393937050391,1.20500737753693e-15,2.48352020510361e-12,chrX,134717937.0,134721912.0,+,3975.0,2465.0
Maged1,4822.643166807539,-1.20546497969231,0.151487773738703,-7.9575067343163,1.75540571169999e-15,2.75448260113942e-12,chrX,94535473.0,94542074.0,-,6601.0,2752.0
Pja1,1118.55051641466,-1.24162256839193,0.156283966119683,-7.9446574029295896,1.9472821822501e-15,2.75448260113942e-12,chrX,99465733.0,99470735.0,-,5002.0,2986.0
Dlg3,958.8377598696719,-1.02744169357688,0.129355672577875,-7.94276488306566,1.97723520214858e-15,2.75448260113942e-12,chrX,100767721.0,100818410.0,+,50689.0,5637.0
Armcx2,858.040455375286,-2.20696804273785,0.278120944552764,-7.935281703745099,2.10018081462075e-15,2.75448260113942e-12,chrX,134804141.0,134809221.0,-,5080.0,3778.0
